Date,Open,High,Low,Close,Adj Close,Volume
2021-08-04,724.25,738.75,714.5,717.25,717.25,75455
2021-08-05,714.75,725.5,709.75,712.75,712.75,62604
2021-08-06,712.75,724.75,709.25,719.0,719.0,85120
2021-08-09,719.0,723.75,708.25,711.25,711.25,84297
2021-08-10,711.0,730.0,708.5,727.0,727.0,85502
2021-08-11,726.75,732.25,718.75,727.0,727.0,98740
2021-08-12,724.0,762.0,723.0,753.5,753.5,109432
2021-08-13,753.0,774.75,747.5,762.25,762.25,87099
2021-08-16,762.5,770.25,757.75,760.5,760.5,62047
2021-08-17,762.5,763.75,732.25,734.5,734.5,63610
2021-08-18,734.25,740.5,721.75,737.25,737.25,33614
2021-08-19,737.0,737.0,716.0,727.5,727.5,37059
2021-08-20,727.5,732.75,709.25,714.25,714.25,37208
2021-08-23,712.75,730.75,710.25,719.75,719.75,21092
2021-08-24,722.75,723.25,710.75,718.0,718.0,28503
2021-08-25,718.0,719.75,704.25,711.25,711.25,21990
2021-08-26,712.5,727.0,709.25,725.25,725.25,17849
2021-08-27,725.75,731.25,717.75,718.5,718.5,24916
2021-08-30,720.5,728.5,707.5,708.75,708.75,18316
2021-08-31,706.5,707.5,690.25,706.75,706.75,1667
2021-09-01,708.25,710.25,699.25,701.0,701.0,546
2021-09-02,694.0,708.0,694.0,704.0,704.0,369
2021-09-03,702.0,715.0,701.0,714.5,714.5,433
2021-09-07,718.5,718.5,704.25,708.75,708.75,169
2021-09-08,704.5,704.5,698.25,698.25,698.25,58
2021-09-09,700.0,700.0,681.5,681.5,681.5,113
2021-09-10,682.5,683.75,673.25,675.0,675.0,72
2021-09-13,671.5,674.5,671.5,674.5,674.5,8
2021-09-14,677.25,685.0,677.25,685.0,685.0,55986
2021-09-15,700.0,714.75,695.25,712.25,712.25,51075
2021-09-16,711.25,716.75,705.0,713.0,713.0,40246
2021-09-17,713.75,716.0,706.5,708.75,708.75,33375
2021-09-20,708.0,710.75,695.75,700.75,700.75,37449
2021-09-21,700.25,701.0,686.0,690.25,690.25,43195
2021-09-22,689.5,706.75,688.0,705.75,705.75,37475
2021-09-23,708.5,719.5,704.0,717.75,717.75,46804
2021-09-24,718.5,725.75,711.5,723.75,723.75,47318
2021-09-27,723.5,728.5,720.25,722.25,722.25,32063
2021-09-28,722.0,726.75,706.0,706.5,706.5,54403
2021-09-29,709.25,717.75,708.25,710.25,710.25,38927
2021-09-30,711.25,732.75,701.25,725.5,725.5,71326
2021-10-01,725.0,758.5,722.75,755.25,755.25,85696
2021-10-04,752.25,763.5,748.5,756.5,756.5,54746
2021-10-05,756.25,757.0,743.75,744.75,744.75,49150
2021-10-06,744.75,756.75,742.25,746.0,746.0,44642
2021-10-07,746.0,752.5,739.5,741.25,741.25,42606
2021-10-08,739.25,746.5,731.75,734.0,734.0,47836
2021-10-11,734.0,739.5,731.0,731.75,731.75,32210
2021-10-12,731.75,743.75,718.0,734.0,734.0,57859
2021-10-13,736.0,737.75,712.75,718.75,718.75,57903
2021-10-14,718.75,729.5,718.5,724.75,724.75,39585
2021-10-15,725.0,740.5,722.25,734.0,734.0,40534
2021-10-18,734.0,738.75,728.5,736.25,736.25,31460
2021-10-19,736.0,745.25,735.25,736.0,736.0,37740
2021-10-20,737.0,750.0,736.5,749.25,749.25,35078
2021-10-21,749.75,752.5,738.25,741.25,741.25,33633
2021-10-22,743.75,759.5,743.5,756.0,756.0,52332
2021-10-25,759.75,767.0,753.25,759.5,759.5,42579
2021-10-26,763.0,765.0,747.5,752.25,752.25,53537
2021-10-27,750.5,762.75,745.0,759.75,759.75,49839
2021-10-28,760.0,780.0,751.5,772.5,772.5,57331
2021-10-29,773.25,780.0,763.5,772.75,772.75,48726
